Codigo Carrera|Codigo Materia|Codigo Curso|Titular|Materia|Dias|Horarios
5|275|1|Martini Fernando Javier|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|21a23
5|275|2|Cardacci Dario Guillermo|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|09a11
5|275|3|Clemente Jorge Omar|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|4|Rota Pablo Cristobal -Mazza Fraquelli Anibal Mario|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|21a23
5|275|5|Abalde Roberto|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|07a09
5|275|6|Eppel Ary Javier|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|7|Rosenthal Ariana Miriam|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|8|Estevez Perez Susana Claudia|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|17a19
5|275|9|Parra Claudio Alberto|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|10|Martinez Luis Jorge|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|07a09
5|275|11|Contaldi Arturo Mauricio|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|07a09
5|275|12|Gonzalez Bosque Marcelo Fernando|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|17a19
5|275|14|Corral Pablo Alejandro|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|15|Barrios Sandra Alicia|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|09a11
5|275|16|Gozzo Bisso Alejandro Ruben|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|13a15
5|275|17|Heredia Esteban Luis|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|17a19
5|275|18|Heredia Esteban Luis|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|19a21
5|275|19|Cappelletti Guillermo Luis|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|21a23
5|275|20|Martinez Fabian Alberto|TECNOLOGIA DE LA INFORMACION|Lu\Mi\Ju|21a23
