Codigo Carrera|Codigo Materia|Codigo Curso|Titular|Materia|Dias|Horarios
4|248|1|Llamas Juana Maria|ESTADISTICA|Lu\Mi\Ju|07a09
4|248|2|Nogues Cesar Eduardo|ESTADISTICA|Lu\Mi\Ju|07a09
4|248|3|Gogni Valeria|ESTADISTICA|Ma\Mi\Vi|07a09
4|248|4|Cantoni Rabolini Nelida Monica|ESTADISTICA|Lu\Mi\Ju|09a11
4|248|5|Llamas Juana Maria|ESTADISTICA|Lu\Mi\Ju|09a11
4|248|7|Larra Matias|ESTADISTICA|Lu\Ju\Sa|13a15
4|248|8|Lepera Andrea Fabiana|ESTADISTICA|Lu\Mi\Ju|13a15
4|248|9|Llamas Juana Maria|ESTADISTICA|Lu\Mi\Ju|17a19
4|248|10|Nogues Cesar Eduardo|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|11|Palacios Patricia Elizabeth|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|12|Aparicio Rodrigo|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|13|Nogues Cesar Eduardo|ESTADISTICA|Lu\Mi\Ju|21a23
4|248|14|Salaberry Natalia Romina|ESTADISTICA|Ma\Vi\Sa|07a09 Sa09a11
4|248|70|Ghersi Liliana Beatriz|ESTADISTICA|Ma|09a11
4|248|15|Grahl Alejandro Federico|ESTADISTICA|Lu\Mi\Ju|17a19
4|248|16|Grahl Alejandro Federico|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|17|Wilson Fabio|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|18|Wilson Fabio|ESTADISTICA|Lu\Mi\Ju|21a23
4|248|19|Rovner Gerardo|ESTADISTICA|Ma\Mi\Vi|21a23
4|248|98||ESTADISTICA||
4|248|20|Dreyfus Marcelo Daniel|ESTADISTICA|Ma\Mi\Vi|09a11
4|248|21|Gutierrez Ezequiel Andres|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|22|Caviezel Pablo Nicolas|ESTADISTICA|Lu\Ju\Sa|07a09 Sa09a11
4|248|23|Rossomando Gustavo Edgardo|ESTADISTICA|Ma\Mi\Vi|07a09
4|248|24|Lasanta Tito Ignacio|ESTADISTICA|Ma\Mi\Vi|09a11
4|248|25|Gutierrez Ezequiel Andres|ESTADISTICA|Ma\Mi\Vi|11a13
4|248|26|Rossomando Gustavo Edgardo|ESTADISTICA|Ma\Mi\Vi|17a19
4|248|27|Cueli Daniel Alejandro|ESTADISTICA|Lu\Mi\Ju|19a21
4|248|28|Lopez Alfaro Sonia Olga|ESTADISTICA|Ma\Mi\Vi|19a21
4|248|29|Gonzalez Daniel Alejandro|ESTADISTICA|Lu\Mi\Ju|21a23
4|248|65|Albornoz Carlos Maximiliano|ESTADISTICA||
4|248|30|Velardez Walter Fabian|ESTADISTICA|Lu\Mi\Ju|07a09
4|248|31|Mutchinick Paula|ESTADISTICA|Lu\Mi\Ju|09a11
4|248|32|Kaplan Krep Christian Lionel|ESTADISTICA|Lu\Mi\Ju|09a11
4|248|33|Gosende Delas Maria Juliana|ESTADISTICA|Lu\Mi\Ju|11a13
4|248|34|Gosende Delas Maria Juliana|ESTADISTICA|Lu\Mi\Ju|13a15
4|248|35|Milia Daniel Alberto|ESTADISTICA|Lu\Mi\Ju|15a17
4|248|36|Monti Sergio Nicolas|ESTADISTICA|Lu\Ju\Sa|19a21 Sa11a13
4|248|37|Testore Nicolas Orlando|ESTADISTICA|Ma\Vi\Sa|19a21 Sa09a11
4|248|38|Kaplan Krep Christian Lionel|ESTADISTICA|Ma\Mi\Vi|21a23
4|248|39|Del Rosso Ezequiel Rodrigo Javier|ESTADISTICA|Ma\Mi\Vi|07a09
4|248|40|Trajtenberg Luis Alberto|ESTADISTICA|Ma\Vi\Sa|07a09
4|248|41|Burdisso Tamara|ESTADISTICA|Ma\Vi\Sa|09a11
4|248|42|Gomez Roca Sebastian|ESTADISTICA|Lu\Mi\Ju|11a13
4|248|43|Parras Diego Alejandro|ESTADISTICA|Ma\Mi\Vi|17a19
4|248|44|Monti Sergio Nicolas|ESTADISTICA|Ma\Mi\Vi|19a21
4|248|99||ESTADISTICA||
4|284|1|Novo Monica Mabel|ANALISIS MATEMATICO II|Ma\Mi\Vi|07a09
4|284|2|Chavez Christian Omar|ANALISIS MATEMATICO II|Lu\Mi\Ju|09a11
4|284|3|Parma Andrea|ANALISIS MATEMATICO II|Lu\Mi\Ju|07a09
4|284|4|Fernandez Maria Jose|ANALISIS MATEMATICO II|Lu\Mi\Ju|09a11
4|284|5|Garcia Fronti Veronica Maria|ANALISIS MATEMATICO II|Lu\Mi\Ju|09a11
4|284|6|Mutchinick Paula|ANALISIS MATEMATICO II|Lu\Mi\Ju|11a13
4|284|7|Masci Martin Ezequiel|ANALISIS MATEMATICO II|Lu\Mi\Ju|17a19
4|284|8|Cogorno Nicolas Alejandro|ANALISIS MATEMATICO II|Lu\Mi\Ju|19a21
4|284|9|Gonzalez Daniel Alejandro|ANALISIS MATEMATICO II|Lu\Mi\Ju|19a21
4|284|98||ANALISIS MATEMATICO II||
4|284|10|Parma Andrea|ANALISIS MATEMATICO II|Lu\Mi\Ju|09a11
4|284|11|Garcia Venturini Alejandro Ezequiel|ANALISIS MATEMATICO II|Lu\Mi\Ju|11a13
4|284|12|Hernandez Carlos Luis|ANALISIS MATEMATICO II|Lu\Mi\Ju|09a11
4|284|13|Hernandez Carlos Luis|ANALISIS MATEMATICO II|Lu\Mi\Ju|19a21
4|284|99||ANALISIS MATEMATICO II||
4|284|14|Rodriguez Vidal Raul -Arce Horacio Adrian|ANALISIS MATEMATICO II|Lu\Mi\Ju|13a15
4|285|1|Cordoba Miguel Angel|ESTADISTICA II|Lu\Mi\Ju|07a09
4|285|2|Trajtenberg Luis Alberto|ESTADISTICA II|Lu\Mi\Ju|07a09
4|285|3|Vietri Silvia|ESTADISTICA II|Lu\Mi\Ju|09a11
4|285|4|Nasif Salum Alejandro Omar|ESTADISTICA II|Lu\Mi\Ju|09a11
4|285|5|Lasanta Tito Ignacio|ESTADISTICA II|Lu\Mi\Ju|13a15
4|285|6|Lopez Carlos Daniel|ESTADISTICA II|Lu\Mi\Ju|19a21
4|285|7|Lopez Carlos Daniel|ESTADISTICA II|Ma\Vi\Sa|19a21 Sa11a13
4|288|1|Casparri Maria Teresa -Tarullo Eduardo Angel|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|09a11
4|288|2|Garcia Fronti Javier Ignacio -Di Lalla Daniela Anahi|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|07a09
4|288|3|Herrera Pablo Matias|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|15a17
4|288|4|Garcia Fronti Javier Ignacio -Battocchio Matias Ezequiel|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|17a19
4|288|5|Rodriguez Eduardo Alberto|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|19a21
4|288|6|Fajfar Pablo Francisco|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|07a09
4|288|7|Zaia Alejandra Cristina|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|11a13
4|288|8|Vilker Ana Silvia|MATEMATICA PARA ECONOMISTAS|Lu\Mi\Ju|13a15
4|551|1|Brufman Juana Zulema -Trajtenberg Luis Alberto|ECONOMETRIA|Lu\Mi\Ju|09a11
4|551|2|Gonzalez Mirta Lidia|ECONOMETRIA|Lu\Mi\Ju|07a09
4|551|3|Calicchio Nicolas Emilio|ECONOMETRIA|Lu\Mi\Ju|07a09
4|551|99||ECONOMETRIA||
4|551|4|Vitale Blanca Rosa|ECONOMETRIA|Ma\Vi\Sa|13a15
4|551|5|Montes Rojas Gabriel Victorio|ECONOMETRIA|Lu\Mi\Ju|15a17
4|551|6|Fabris Julio Eduardo|ECONOMETRIA|Ma\Vi\Sa|17a19 Sa09a11
4|249|1|Tchordonkian Silvia|HISTORIA EC. Y SOCIAL ARGENTINA|Lu\Ju|11a13
4|249|2|Belini Claudio Fabian -Garibotti Maria Helena|HISTORIA EC. Y SOCIAL ARGENTINA|Ma\Vi|09a11
4|249|3|Colombo Edgardo Hugo|HISTORIA EC. Y SOCIAL ARGENTINA|Lu\Ju|19a21
4|249|4|Ruffolo Benedicto Flavio|HISTORIA EC. Y SOCIAL ARGENTINA|Lu\Ju|07a09
